product,city,total_orders,total_revenue,avg_order_value
Tablet,Delhi,33509,2560338788,76407
Tablet,Hyderabad,33539,2552014877,76090
Laptop,Hyderabad,33423,2551170294,76329
Mobile,Mumbai,33332,2543892040,76319
Camera,Bangalore,33620,2543369773,75650
TV,Chennai,33599,2541135990,75631
TV,Hyderabad,33578,2539837828,75639
Tablet,Mumbai,33632,2531754812,75278
Laptop,Chennai,33294,2530796436,76013
Headphones,Mumbai,33452,2527526432,75556
TV,Delhi,33201,2524641213,76041
Headphones,Bangalore,33429,2522471207,75457
Headphones,Chennai,33350,2522160478,75627
Mobile,Hyderabad,33379,2518208711,75442
Mobile,Delhi,33375,2517921607,75443
Camera,Mumbai,33201,2517536265,75827
Camera,Delhi,33213,2517396903,75795
Tablet,Chennai,33181,2515963379,75825
Camera,Chennai,32985,2515873835,76273
Headphones,Hyderabad,33158,2515208106,75855
Mobile,Chennai,33159,2514431979,75829
TV,Bangalore,33215,2513301442,75667
Tablet,Bangalore,33222,2512561092,75629
Laptop,Bangalore,33154,2511709975,75758
Camera,Hyderabad,33429,2508834509,75049
Headphones,Delhi,33402,2507146047,75059
Laptop,Delhi,33339,2507036884,75198
TV,Mumbai,33218,2504063467,75382
Laptop,Mumbai,33155,2502973212,75493
Mobile,Bangalore,33257,2502244527,75239
