city,product,high_value_orders,high_value_revenue
Delhi,Tablet,21558,2314283682
Hyderabad,Tablet,21647,2308038935
Hyderabad,Laptop,21515,2306935184
Mumbai,Mobile,21454,2297536014
Bangalore,Camera,21480,2293669192
Hyderabad,TV,21484,2292761917
Chennai,TV,21476,2289991632
Chennai,Laptop,21369,2287191613
Mumbai,Tablet,21566,2284053380
Delhi,TV,21407,2283338813
Mumbai,Headphones,21410,2281424952
Chennai,Headphones,21358,2276749800
Mumbai,Camera,21370,2275139854
Chennai,Tablet,21372,2273698303
Delhi,Camera,21291,2273636638
Bangalore,Headphones,21345,2272827172
Chennai,Camera,21217,2272399098
Delhi,Mobile,21413,2271900438
Hyderabad,Mobile,21238,2270804331
Hyderabad,Headphones,21185,2270577132
Chennai,Mobile,21254,2270274672
Bangalore,Laptop,21315,2268858569
Bangalore,Tablet,21367,2267671080
Bangalore,TV,21275,2266613313
Mumbai,TV,21278,2261609316
Delhi,Laptop,21339,2260720235
Delhi,Headphones,21320,2260471624
Hyderabad,Camera,21321,2258160163
Bangalore,Mobile,21213,2257481138
Mumbai,Laptop,21097,2255880570
